full_address,house_number,house_number_suffix,street_predirection,street_name,street_type,address_postdirection,city,state,zipcode,latitude,longitude,precinct_portion_id
210 S BRAYER ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
115 S BRAYER ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
112 BRADFORD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
575 ROHM DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
1033 FAIRVIEW DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
319 BEECH ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
85 VINCENNES DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
155 ORCHARD LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
305 BRIARCLIFF DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
533 N ASH ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
112 FOREST ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
1445 SEDWARD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
822 STRONG ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
510 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
140 S EAST ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
321 E MAIN ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
318 CAREY ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
231 S EAST ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
624 DAGGETT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
626 W CLINTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
1040 N SCOTT ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
1120 E RIVERVIEW AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
108 W YOUNG ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1018 FAIRVIEW DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
245 WOODLAWN ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
601 W MAIN ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
219 1/2 W WASHINGTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
615 W MULBERRY ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
533 HIGH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
194 OLD CREEK DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
555 ROHM DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
439 W MAPLE ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
128 E BARNES AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
421 RAYMOND ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
652 LEONARD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
2254 N SCOTT ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
312 W MAPLE ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
212 CHERRY ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
421 OAK ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
191 HUDSON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
205 W WABASH ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
211 THOMAS AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
335 HAMILTON ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
937 WOODLAWN AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
755 WELSTED ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1106 CHELSEA AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
142 E ELM ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
338 CAREY ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
540 S FIRST ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
2411 GLEN ARBORS DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
528 W CLINTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
2459 GLEN ARBORS DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
895 DAGGETT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
608 STOUT ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
210 HIGH ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
142 W ELM ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
155 NORTHCREST DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
225 FILMORE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
931 WOODLAWN AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
845 HOBSON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
320 MAUMEE LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
852 MONROE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
265 BALTIMORE ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
304 BROWNELL ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
15 PARK CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
429 BROWNELL ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
104 ANN ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
328 FILMORE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
